date,title,artist,peak_pos,rank,weeks
1980-03-19,Set Me Free,Utopia,42.0,42.0,5.0
1980-03-19,Think About Me,Fleetwood Mac,43.0,43.0,3.0
1980-03-19,My Heroes Have Always Been Cowboys,Willie Nelson,44.0,44.0,7.0
1980-03-19,Cars,Gary Numan,45.0,45.0,6.0
1980-03-19,Where Does The Lovin' Go,David Gates,46.0,46.0,7.0
1980-03-19,Any Way You Want It,Journey,47.0,47.0,4.0
1980-03-19,Keep The Fire,Kenny Loggins,48.0,48.0,5.0
1980-03-19,What I Like About You,The Romantics,49.0,49.0,6.0
1980-03-19,Fire In The Morning,Melissa Manchester,50.0,50.0,5.0
1980-03-19,Carrie,Cliff Richard,51.0,51.0,5.0
1980-03-19,Outside My Window,Stevie Wonder,52.0,52.0,4.0
1980-03-19,Brass In Pocket (I'm Special),Pretenders,53.0,53.0,6.0
1980-03-19,The Spirit Of Radio,Rush,54.0,54.0,5.0
1980-03-19,Girl With The Hungry Eyes,Jefferson Starship,55.0,55.0,5.0
1980-03-19,Autograph,John Denver,56.0,56.0,5.0
1980-03-19,Only A Lonely Heart Sees,Felix Cavaliere,57.0,57.0,4.0
1980-03-19,Do Right,Paul Davis,58.0,58.0,3.0
1980-03-19,You Are My Heaven,Roberta Flack With Donny Hathaway,59.0,59.0,6.0
1980-03-19,"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,60.0,60.0,8.0
1980-03-19,Love On A Shoestring,Captain & Tennille,61.0,61.0,3.0
1980-03-19,I Thank You,ZZ Top,34.0,62.0,10.0
1980-03-19,It's Like We Never Said Goodbye,Crystal Gayle,63.0,63.0,5.0
1980-03-19,When I Wanted You,Barry Manilow,20.0,64.0,15.0
1980-03-19,Baby Talks Dirty,The Knack,38.0,65.0,7.0
1980-03-19,Haven't You Heard,Patrice Rushen,42.0,66.0,9.0
1980-03-19,Rockin' Into The Night,38 Special,43.0,67.0,8.0
1980-03-19,Us And Love (We Go Together),Kenny Nolan,44.0,68.0,8.0
1980-03-19,A Certain Girl,Warren Zevon,69.0,69.0,3.0
1980-03-19,Stomp!,The Brothers Johnson,70.0,70.0,2.0
1980-03-19,Loving You With My Eyes,Starland Vocal Band,71.0,71.0,5.0
1980-03-19,Let Me Be,Korona,72.0,72.0,1.0
1980-03-19,Don't Cry For Me Argentina,Festival,73.0,73.0,3.0
1980-03-19,Baby Don't Go,Karla Bonoff,74.0,74.0,4.0
1980-03-19,In It For Love,England Dan & John Ford Coley,75.0,75.0,3.0
1980-03-19,Heart Hotels,Dan Fogelberg,76.0,76.0,1.0
1980-03-19,A Lesson In Leavin',Dottie West,77.0,77.0,3.0
1980-03-19,Let Me Be The Clock,Smokey Robinson,78.0,78.0,2.0
1980-03-19,Today Is The Day,Bar-Kays,79.0,79.0,1.0
1980-03-19,High On Your Love,Debbie Jacobs,80.0,80.0,2.0
1980-03-19,Somewhere In America,Survivor,81.0,81.0,5.0
1980-03-19,Survive,Jimmy Buffett,82.0,82.0,3.0
1980-03-19,Love's Only Love,Engelbert,83.0,83.0,2.0
1980-03-19,Train In Vain (Stand By Me),The Clash,84.0,84.0,1.0
1980-03-19,Wondering Where The Lions Are,Bruce Cockburn,85.0,85.0,1.0
1980-03-19,The Rose,Bette Midler,86.0,86.0,1.0
1980-03-19,Love On The Phone,Suzanne Fellini,87.0,87.0,2.0
1980-03-19,It's Hard To Be Humble,Mac Davis,88.0,88.0,1.0
1980-03-19,I Don't Need You Anymore,Together? (Soundtrack) Featuring Jackie DeShannon,89.0,89.0,3.0
1980-03-19,Stay In Time,Off Broadway USA,90.0,90.0,1.0
1980-03-19,I Wish I Was Eighteen Again,George Burns,49.0,91.0,10.0
1980-03-19,"Bounce, Rock, Skate, Roll Pt. 1",Vaughan Mason And Crew,92.0,92.0,1.0
1980-03-19,When A Man Loves A Woman,Bette Midler,35.0,93.0,10.0
1980-03-19,Cruisin',Smokey Robinson,4.0,94.0,25.0
1980-03-19,Coward Of The County,Kenny Rogers,3.0,95.0,19.0
1980-03-19,This Is It,Kenny Loggins,11.0,96.0,23.0
1980-03-19,Desire,Rockets,70.0,97.0,6.0
1980-03-19,"Let Me Go, Love",Nicolette Larson & Michael McDonald,35.0,98.0,11.0
1980-03-19,Kiss Me In The Rain,Barbra Streisand,37.0,99.0,11.0
1980-03-19,Wonderland,Commodores,25.0,100.0,15.0
1980-03-26,Another Brick In The Wall (Part II),Pink Floyd,1.0,1.0,11.0
1980-03-26,"Working My Way Back To You/Forgive Me, Girl",The Spinners,2.0,2.0,16.0
1980-03-26,Crazy Little Thing Called Love,Queen,1.0,3.0,15.0
1980-03-26,Desire,Andy Gibb,4.0,4.0,10.0
1980-03-26,Call Me,Blondie,5.0,5.0,7.0
1980-03-26,Him,Rupert Holmes,6.0,6.0,11.0
1980-03-26,Too Hot,Kool & The Gang,7.0,7.0,11.0
1980-03-26,The Second Time Around,Shalamar,8.0,8.0,17.0
1980-03-26,Ride Like The Wind,Christopher Cross,9.0,9.0,7.0
1980-03-26,How Do I Make You,Linda Ronstadt,10.0,10.0,9.0
1980-03-26,Special Lady,"Ray, Goodman & Brown",11.0,11.0,10.0
1980-03-26,Longer,Dan Fogelberg,2.0,12.0,16.0
1980-03-26,I Can't Tell You Why,Eagles,13.0,13.0,6.0
1980-03-26,Off The Wall,Michael Jackson,14.0,14.0,7.0
1980-03-26,Fire Lake,Bob Seger,15.0,15.0,6.0
1980-03-26,On The Radio,Donna Summer,5.0,16.0,12.0
1980-03-26,With You I'm Born Again,Billy Preston & Syreeta,17.0,17.0,17.0
1980-03-26,Give It All You Got,Chuck Mangione,18.0,18.0,11.0
1980-03-26,Three Times In Love,Tommy James,19.0,19.0,10.0
1980-03-26,Lost In Love,Air Supply,20.0,20.0,8.0
1980-03-26,Refugee,Tom Petty And The Heartbreakers,15.0,21.0,10.0
1980-03-26,Sexy Eyes,Dr. Hook,22.0,22.0,7.0
1980-03-26,You May Be Right,Billy Joel,23.0,23.0,3.0
1980-03-26,"Yes, I'm Ready",Teri DeSario With K.C.,2.0,24.0,20.0
1980-03-26,Hold On To My Love,Jimmy Ruffin,25.0,25.0,5.0
1980-03-26,Heartbreaker,Pat Benatar,23.0,26.0,15.0
1980-03-26,Do That To Me One More Time,Captain & Tennille,1.0,27.0,24.0
1980-03-26,And The Beat Goes On,The Whispers,28.0,28.0,8.0
1980-03-26,I Pledge My Love,Peaches & Herb,29.0,29.0,11.0
1980-03-26,Daydream Believer,Anne Murray,12.0,30.0,15.0
1980-03-26,Pilot Of The Airwaves,Charlie Dore,31.0,31.0,6.0
1980-03-26,Come Back,The J. Geils Band,32.0,32.0,9.0
1980-03-26,Even It Up,Heart,33.0,33.0,8.0
1980-03-26,Think About Me,Fleetwood Mac,34.0,34.0,4.0
1980-03-26,99,Toto,26.0,35.0,15.0
1980-03-26,Years,Wayne Newton,36.0,36.0,9.0
1980-03-26,Set Me Free,Utopia,37.0,37.0,6.0
1980-03-26,Rock With You,Michael Jackson,1.0,38.0,22.0
1980-03-26,Any Way You Want It,Journey,39.0,39.0,5.0
1980-03-26,Cars,Gary Numan,40.0,40.0,7.0
1980-03-26,Women,Foreigner,41.0,41.0,7.0
1980-03-26,Keep The Fire,Kenny Loggins,42.0,42.0,6.0
1980-03-26,Fire In The Morning,Melissa Manchester,43.0,43.0,6.0
1980-03-26,My Heroes Have Always Been Cowboys,Willie Nelson,44.0,44.0,8.0
1980-03-26,Carrie,Cliff Richard,45.0,45.0,6.0
1980-03-26,Brass In Pocket (I'm Special),Pretenders,46.0,46.0,7.0
1980-03-26,Only A Lonely Heart Sees,Felix Cavaliere,47.0,47.0,5.0
1980-03-26,Do Right,Paul Davis,48.0,48.0,4.0
1980-03-26,An American Dream,The Dirt Band,13.0,49.0,17.0
1980-03-26,Stomp!,The Brothers Johnson,50.0,50.0,3.0
1980-03-26,The Spirit Of Radio,Rush,51.0,51.0,6.0
1980-03-26,Outside My Window,Stevie Wonder,52.0,52.0,5.0
1980-03-26,Autograph,John Denver,53.0,53.0,6.0
1980-03-26,You Are My Heaven,Roberta Flack With Donny Hathaway,54.0,54.0,7.0
1980-03-26,Love On A Shoestring,Captain & Tennille,55.0,55.0,4.0
1980-03-26,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,56.0,56.0,1.0
1980-03-26,September Morn',Neil Diamond,17.0,57.0,15.0
1980-03-26,Back On My Feet Again,The Babys,33.0,58.0,11.0
1980-03-26,Romeo's Tune,Steve Forbert,11.0,59.0,18.0
1980-03-26,What I Like About You,The Romantics,49.0,60.0,7.0
1980-03-26,A Certain Girl,Warren Zevon,61.0,61.0,4.0
1980-03-26,Let Me Be,Korona,62.0,62.0,2.0
1980-03-26,I Can't Help It,Andy Gibb & Olivia Newton-John,63.0,63.0,1.0
1980-03-26,"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,60.0,64.0,9.0
1980-03-26,Breakdown Dead Ahead,Boz Scaggs,65.0,65.0,1.0
1980-03-26,Heart Hotels,Dan Fogelberg,66.0,66.0,2.0
1980-03-26,Where Does The Lovin' Go,David Gates,46.0,67.0,8.0
1980-03-26,Let Me Be The Clock,Smokey Robinson,68.0,68.0,3.0
1980-03-26,Today Is The Day,Bar-Kays,69.0,69.0,2.0
1980-03-26,High On Your Love,Debbie Jacobs,70.0,70.0,3.0
1980-03-26,Baby Don't Go,Karla Bonoff,71.0,71.0,5.0
1980-03-26,Don't Cry For Me Argentina,Festival,72.0,72.0,4.0
1980-03-26,A Lesson In Leavin',Dottie West,73.0,73.0,4.0
1980-03-26,Train In Vain (Stand By Me),The Clash,74.0,74.0,2.0
1980-03-26,Wondering Where The Lions Are,Bruce Cockburn,75.0,75.0,2.0
1980-03-26,The Rose,Bette Midler,76.0,76.0,2.0
1980-03-26,Survive,Jimmy Buffett,77.0,77.0,4.0
1980-03-26,It's Hard To Be Humble,Mac Davis,78.0,78.0,2.0
1980-03-26,Somewhere In America,Survivor,79.0,79.0,6.0
1980-03-26,Stay In Time,Off Broadway USA,80.0,80.0,2.0
1980-03-26,Borrowed Time,Styx,81.0,81.0,1.0
1980-03-26,"Bounce, Rock, Skate, Roll Pt. 1",Vaughan Mason And Crew,82.0,82.0,2.0
1980-03-26,Let's Get Serious,Jermaine Jackson,83.0,83.0,1.0
1980-03-26,Starting Over Again,Dolly Parton,84.0,84.0,1.0
1980-03-26,The Seduction (Love Theme),James Last Band,85.0,85.0,1.0
1980-03-26,After You,Dionne Warwick,86.0,86.0,1.0
1980-03-26,I Don't Need You Anymore,Together? (Soundtrack) Featuring Jackie DeShannon,87.0,87.0,4.0
1980-03-26,Gee Whiz,Bernadette Peters,88.0,88.0,1.0
1980-03-26,Funkytown,"Lipps, Inc.",89.0,89.0,1.0
1980-03-26,Should've Never Let You Go,Neil Sedaka & Dara Sedaka,90.0,90.0,1.0
1980-03-26,In It For Love,England Dan & John Ford Coley,75.0,91.0,4.0
1980-03-26,Holiday,Nazareth,92.0,92.0,1.0
1980-03-26,Loving You With My Eyes,Starland Vocal Band,71.0,93.0,6.0
1980-03-26,Rockin' Into The Night,38 Special,43.0,94.0,9.0
1980-03-26,Baby Talks Dirty,The Knack,38.0,95.0,8.0
1980-03-26,Girl With The Hungry Eyes,Jefferson Starship,55.0,96.0,6.0
1980-03-26,We Were Meant To Be Lovers,Photoglo,97.0,97.0,1.0
1980-03-26,When I Wanted You,Barry Manilow,20.0,98.0,16.0
1980-03-26,It's Like We Never Said Goodbye,Crystal Gayle,63.0,99.0,6.0
1980-03-26,I Thank You,ZZ Top,34.0,100.0,11.0
1980-04-02,Another Brick In The Wall (Part II),Pink Floyd,1.0,1.0,12.0
1980-04-02,"Working My Way Back To You/Forgive Me, Girl",The Spinners,2.0,2.0,17.0
1980-04-02,Call Me,Blondie,3.0,3.0,8.0
1980-04-02,Crazy Little Thing Called Love,Queen,1.0,4.0,16.0
1980-04-02,Too Hot,Kool & The Gang,5.0,5.0,12.0
1980-04-02,Him,Rupert Holmes,6.0,6.0,12.0
1980-04-02,Ride Like The Wind,Christopher Cross,7.0,7.0,8.0
1980-04-02,Special Lady,"Ray, Goodman & Brown",8.0,8.0,11.0
1980-04-02,Desire,Andy Gibb,4.0,9.0,11.0
1980-04-02,How Do I Make You,Linda Ronstadt,10.0,10.0,10.0
1980-04-02,I Can't Tell You Why,Eagles,11.0,11.0,7.0
1980-04-02,Off The Wall,Michael Jackson,12.0,12.0,8.0
1980-04-02,Fire Lake,Bob Seger,13.0,13.0,7.0
1980-04-02,The Second Time Around,Shalamar,8.0,14.0,18.0
1980-04-02,With You I'm Born Again,Billy Preston & Syreeta,15.0,15.0,18.0
1980-04-02,Lost In Love,Air Supply,16.0,16.0,9.0
1980-04-02,You May Be Right,Billy Joel,17.0,17.0,4.0
1980-04-02,Sexy Eyes,Dr. Hook,18.0,18.0,8.0
1980-04-02,Three Times In Love,Tommy James,19.0,19.0,11.0
1980-04-02,Hold On To My Love,Jimmy Ruffin,20.0,20.0,6.0
1980-04-02,Longer,Dan Fogelberg,2.0,21.0,17.0
1980-04-02,On The Radio,Donna Summer,5.0,22.0,13.0
1980-04-02,And The Beat Goes On,The Whispers,23.0,23.0,9.0
1980-04-02,Give It All You Got,Chuck Mangione,18.0,24.0,12.0
1980-04-02,I Pledge My Love,Peaches & Herb,25.0,25.0,12.0
1980-04-02,Pilot Of The Airwaves,Charlie Dore,26.0,26.0,7.0
1980-04-02,Refugee,Tom Petty And The Heartbreakers,15.0,27.0,11.0
1980-04-02,Think About Me,Fleetwood Mac,28.0,28.0,5.0
1980-04-02,Heartbreaker,Pat Benatar,23.0,29.0,16.0
1980-04-02,"Yes, I'm Ready",Teri DeSario With K.C.,2.0,30.0,21.0
1980-04-02,Do That To Me One More Time,Captain & Tennille,1.0,31.0,25.0
1980-04-02,Set Me Free,Utopia,32.0,32.0,7.0
1980-04-02,Even It Up,Heart,33.0,33.0,9.0
1980-04-02,Any Way You Want It,Journey,34.0,34.0,6.0
1980-04-02,Years,Wayne Newton,35.0,35.0,10.0
1980-04-02,Cars,Gary Numan,36.0,36.0,8.0
1980-04-02,Keep The Fire,Kenny Loggins,37.0,37.0,7.0
1980-04-02,Fire In The Morning,Melissa Manchester,38.0,38.0,7.0
1980-04-02,Come Back,The J. Geils Band,32.0,39.0,10.0
1980-04-02,Carrie,Cliff Richard,40.0,40.0,7.0
1980-04-02,Brass In Pocket (I'm Special),Pretenders,41.0,41.0,8.0
1980-04-02,Only A Lonely Heart Sees,Felix Cavaliere,42.0,42.0,6.0
1980-04-02,Do Right,Paul Davis,43.0,43.0,5.0
1980-04-02,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,44.0,44.0,2.0
1980-04-02,Stomp!,The Brothers Johnson,45.0,45.0,4.0
1980-04-02,Daydream Believer,Anne Murray,12.0,46.0,16.0
1980-04-02,Breakdown Dead Ahead,Boz Scaggs,47.0,47.0,2.0
1980-04-02,You Are My Heaven,Roberta Flack With Donny Hathaway,48.0,48.0,8.0
1980-04-02,99,Toto,26.0,49.0,16.0
1980-04-02,I Can't Help It,Andy Gibb & Olivia Newton-John,50.0,50.0,2.0
1980-04-02,An American Dream,The Dirt Band,13.0,51.0,18.0
1980-04-02,Autograph,John Denver,52.0,52.0,7.0
1980-04-02,My Heroes Have Always Been Cowboys,Willie Nelson,44.0,53.0,9.0
1980-04-02,Rock With You,Michael Jackson,1.0,54.0,23.0
1980-04-02,Love On A Shoestring,Captain & Tennille,55.0,55.0,5.0
1980-04-02,Let Me Be,Korona,56.0,56.0,3.0
1980-04-02,Heart Hotels,Dan Fogelberg,57.0,57.0,3.0
1980-04-02,Let Me Be The Clock,Smokey Robinson,58.0,58.0,4.0
1980-04-02,A Certain Girl,Warren Zevon,59.0,59.0,5.0
1980-04-02,Biggest Part Of Me,Ambrosia,60.0,60.0,1.0
1980-04-02,The Spirit Of Radio,Rush,51.0,61.0,7.0
1980-04-02,Today Is The Day,Bar-Kays,62.0,62.0,3.0
1980-04-02,Outside My Window,Stevie Wonder,52.0,63.0,6.0
1980-04-02,Train In Vain (Stand By Me),The Clash,64.0,64.0,3.0
1980-04-02,Women,Foreigner,41.0,65.0,8.0
1980-04-02,The Rose,Bette Midler,66.0,66.0,3.0
1980-04-02,The Seduction (Love Theme),James Last Band,67.0,67.0,2.0
1980-04-02,It's Hard To Be Humble,Mac Davis,68.0,68.0,3.0
1980-04-02,Baby Don't Go,Karla Bonoff,69.0,69.0,6.0
1980-04-02,High On Your Love,Debbie Jacobs,70.0,70.0,4.0
1980-04-02,Stay In Time,Off Broadway USA,71.0,71.0,3.0
1980-04-02,Borrowed Time,Styx,72.0,72.0,2.0
1980-04-02,Let's Get Serious,Jermaine Jackson,73.0,73.0,2.0
1980-04-02,Starting Over Again,Dolly Parton,74.0,74.0,2.0
1980-04-02,Wondering Where The Lions Are,Bruce Cockburn,75.0,75.0,3.0
1980-04-02,After You,Dionne Warwick,76.0,76.0,2.0
1980-04-02,Somewhere In America,Survivor,77.0,77.0,7.0
1980-04-02,Gee Whiz,Bernadette Peters,78.0,78.0,2.0
1980-04-02,Funkytown,"Lipps, Inc.",79.0,79.0,2.0
1980-04-02,Should've Never Let You Go,Neil Sedaka & Dara Sedaka,80.0,80.0,2.0
1980-04-02,"Bounce, Rock, Skate, Roll Pt. 1",Vaughan Mason And Crew,81.0,81.0,3.0
1980-04-02,Lucky Me,Anne Murray,82.0,82.0,1.0
1980-04-02,When The Feeling Comes Around,Jennifer Warnes,83.0,83.0,1.0
1980-04-02,White Hot,Red Rider,84.0,84.0,1.0
1980-04-02,The Good Lord Loves You,Neil Diamond,85.0,85.0,1.0
1980-04-02,I Don't Need You Anymore,Together? (Soundtrack) Featuring Jackie DeShannon,86.0,86.0,5.0
1980-04-02,We Were Meant To Be Lovers,Photoglo,87.0,87.0,2.0
1980-04-02,We Live For Love,Pat Benatar,88.0,88.0,1.0
1980-04-02,Can't Put A Price On Love,The Knack,89.0,89.0,1.0
1980-04-02,Solitaire,Peter McIan,90.0,90.0,1.0
1980-04-02,Holiday,Nazareth,91.0,91.0,2.0
1980-04-02,Don't Cry For Me Argentina,Festival,72.0,92.0,5.0
1980-04-02,Don't Push It Don't Force It,Leon Haywood,93.0,93.0,1.0
1980-04-02,Scandal,RCR,94.0,94.0,1.0
1980-04-02,A Lesson In Leavin',Dottie West,73.0,95.0,5.0
1980-04-02,September Morn',Neil Diamond,17.0,96.0,16.0
1980-04-02,Back On My Feet Again,The Babys,33.0,97.0,12.0
1980-04-02,Romeo's Tune,Steve Forbert,11.0,98.0,19.0
1980-04-02,What I Like About You,The Romantics,49.0,99.0,8.0
1980-04-02,Survive,Jimmy Buffett,77.0,100.0,5.0
1980-04-09,Another Brick In The Wall (Part II),Pink Floyd,1.0,1.0,13.0
1980-04-09,Call Me,Blondie,2.0,2.0,9.0
1980-04-09,"Working My Way Back To You/Forgive Me, Girl",The Spinners,2.0,3.0,18.0
1980-04-09,Ride Like The Wind,Christopher Cross,4.0,4.0,9.0
1980-04-09,Too Hot,Kool & The Gang,5.0,5.0,13.0
1980-04-09,Special Lady,"Ray, Goodman & Brown",6.0,6.0,12.0
1980-04-09,With You I'm Born Again,Billy Preston & Syreeta,7.0,7.0,19.0
1980-04-09,Crazy Little Thing Called Love,Queen,1.0,8.0,17.0
1980-04-09,I Can't Tell You Why,Eagles,9.0,9.0,8.0
1980-04-09,Off The Wall,Michael Jackson,10.0,10.0,9.0
1980-04-09,Fire Lake,Bob Seger,11.0,11.0,8.0
1980-04-09,Lost In Love,Air Supply,12.0,12.0,10.0
1980-04-09,Him,Rupert Holmes,6.0,13.0,13.0
1980-04-09,You May Be Right,Billy Joel,14.0,14.0,5.0
1980-04-09,Sexy Eyes,Dr. Hook,15.0,15.0,9.0
1980-04-09,The Second Time Around,Shalamar,8.0,16.0,19.0
1980-04-09,How Do I Make You,Linda Ronstadt,10.0,17.0,11.0
1980-04-09,Hold On To My Love,Jimmy Ruffin,18.0,18.0,7.0
1980-04-09,And The Beat Goes On,The Whispers,19.0,19.0,10.0
1980-04-09,Desire,Andy Gibb,4.0,20.0,12.0
1980-04-09,Three Times In Love,Tommy James,19.0,21.0,12.0
1980-04-09,I Pledge My Love,Peaches & Herb,22.0,22.0,13.0
1980-04-09,Pilot Of The Airwaves,Charlie Dore,23.0,23.0,8.0
1980-04-09,Think About Me,Fleetwood Mac,24.0,24.0,6.0
1980-04-09,Longer,Dan Fogelberg,2.0,25.0,18.0
1980-04-09,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,26.0,26.0,3.0
1980-04-09,Give It All You Got,Chuck Mangione,18.0,27.0,13.0
1980-04-09,Set Me Free,Utopia,28.0,28.0,8.0
1980-04-09,Any Way You Want It,Journey,29.0,29.0,7.0
1980-04-09,Stomp!,The Brothers Johnson,30.0,30.0,5.0
1980-04-09,On The Radio,Donna Summer,5.0,31.0,14.0
1980-04-09,Cars,Gary Numan,32.0,32.0,9.0
1980-04-09,Brass In Pocket (I'm Special),Pretenders,33.0,33.0,9.0
1980-04-09,Fire In The Morning,Melissa Manchester,34.0,34.0,8.0
1980-04-09,Carrie,Cliff Richard,35.0,35.0,8.0
1980-04-09,Keep The Fire,Kenny Loggins,36.0,36.0,8.0
1980-04-09,Only A Lonely Heart Sees,Felix Cavaliere,37.0,37.0,7.0
1980-04-09,Do Right,Paul Davis,38.0,38.0,6.0
1980-04-09,Refugee,Tom Petty And The Heartbreakers,15.0,39.0,12.0
1980-04-09,Heartbreaker,Pat Benatar,23.0,40.0,17.0
1980-04-09,Breakdown Dead Ahead,Boz Scaggs,41.0,41.0,3.0
1980-04-09,Even It Up,Heart,33.0,42.0,10.0
1980-04-09,I Can't Help It,Andy Gibb & Olivia Newton-John,43.0,43.0,3.0
1980-04-09,Biggest Part Of Me,Ambrosia,44.0,44.0,2.0
1980-04-09,"Yes, I'm Ready",Teri DeSario With K.C.,2.0,45.0,22.0
1980-04-09,Hurt So Bad,Linda Ronstadt,46.0,46.0,1.0
1980-04-09,You Are My Heaven,Roberta Flack With Donny Hathaway,47.0,47.0,9.0
1980-04-09,Let Me Be,Korona,48.0,48.0,4.0
1980-04-09,Heart Hotels,Dan Fogelberg,49.0,49.0,4.0
1980-04-09,Years,Wayne Newton,35.0,50.0,11.0
1980-04-09,Let Me Be The Clock,Smokey Robinson,51.0,51.0,5.0
1980-04-09,Autograph,John Denver,52.0,52.0,8.0
1980-04-09,Do That To Me One More Time,Captain & Tennille,1.0,53.0,26.0
1980-04-09,Come Back,The J. Geils Band,32.0,54.0,11.0
1980-04-09,The Seduction (Love Theme),James Last Band,55.0,55.0,3.0
1980-04-09,Train In Vain (Stand By Me),The Clash,56.0,56.0,4.0
1980-04-09,A Certain Girl,Warren Zevon,57.0,57.0,6.0
1980-04-09,The Rose,Bette Midler,58.0,58.0,4.0
1980-04-09,It's Hard To Be Humble,Mac Davis,59.0,59.0,4.0
1980-04-09,Today Is The Day,Bar-Kays,60.0,60.0,4.0
1980-04-09,Funkytown,"Lipps, Inc.",61.0,61.0,3.0
1980-04-09,Wondering Where The Lions Are,Bruce Cockburn,62.0,62.0,4.0
1980-04-09,Stay In Time,Off Broadway USA,63.0,63.0,4.0
1980-04-09,Let's Get Serious,Jermaine Jackson,64.0,64.0,3.0
1980-04-09,Borrowed Time,Styx,65.0,65.0,3.0
1980-04-09,Starting Over Again,Dolly Parton,66.0,66.0,3.0
1980-04-09,After You,Dionne Warwick,67.0,67.0,3.0
1980-04-09,Gee Whiz,Bernadette Peters,68.0,68.0,3.0
1980-04-09,Daydream Believer,Anne Murray,12.0,69.0,17.0
1980-04-09,Should've Never Let You Go,Neil Sedaka & Dara Sedaka,70.0,70.0,3.0
1980-04-09,Love On A Shoestring,Captain & Tennille,55.0,71.0,6.0
1980-04-09,Lucky Me,Anne Murray,72.0,72.0,2.0
1980-04-09,When The Feeling Comes Around,Jennifer Warnes,73.0,73.0,2.0
1980-04-09,White Hot,Red Rider,74.0,74.0,2.0
1980-04-09,Somewhere In America,Survivor,75.0,75.0,8.0
1980-04-09,The Good Lord Loves You,Neil Diamond,76.0,76.0,2.0
1980-04-09,We Were Meant To Be Lovers,Photoglo,77.0,77.0,3.0
1980-04-09,We Live For Love,Pat Benatar,78.0,78.0,2.0
1980-04-09,Can't Put A Price On Love,The Knack,79.0,79.0,2.0
1980-04-09,Solitaire,Peter McIan,80.0,80.0,2.0
1980-04-09,I Don't Want To Walk Without You,Barry Manilow,81.0,81.0,1.0
1980-04-09,Headed For A Fall,Firefall,82.0,82.0,1.0
1980-04-09,Love Stinks,The J. Geils Band,83.0,83.0,1.0
1980-04-09,Goin' On,The Beach Boys,84.0,84.0,1.0
1980-04-09,Steal Away,Robbie Dupree,85.0,85.0,1.0
1980-04-09,Baby Don't Go,Karla Bonoff,69.0,86.0,7.0
1980-04-09,Holiday,Nazareth,87.0,87.0,3.0
1980-04-09,You've Got What I Need,Shooting Star,88.0,88.0,1.0
1980-04-09,Say Goodbye To Little Jo,Steve Forbert,89.0,89.0,1.0
1980-04-09,Don't Push It Don't Force It,Leon Haywood,90.0,90.0,2.0
1980-04-09,99,Toto,26.0,91.0,17.0
1980-04-09,Don't Cry For Me Argentina,Festival,72.0,92.0,6.0
1980-04-09,An American Dream,The Dirt Band,13.0,93.0,19.0
1980-04-09,Scandal,RCR,94.0,94.0,2.0
1980-04-09,My Heroes Have Always Been Cowboys,Willie Nelson,44.0,95.0,10.0
1980-04-09,Rock With You,Michael Jackson,1.0,96.0,24.0
1980-04-09,The Spirit Of Radio,Rush,51.0,97.0,8.0
1980-04-09,I Was Looking For Someone To Love,Leif Garrett,98.0,98.0,1.0
1980-04-09,Outside My Window,Stevie Wonder,52.0,99.0,7.0
1980-04-09,Women,Foreigner,41.0,100.0,9.0
1980-04-16,Call Me,Blondie,1.0,1.0,10.0
1980-04-16,Another Brick In The Wall (Part II),Pink Floyd,1.0,2.0,14.0
1980-04-16,Ride Like The Wind,Christopher Cross,3.0,3.0,10.0
1980-04-16,With You I'm Born Again,Billy Preston & Syreeta,4.0,4.0,20.0
1980-04-16,Special Lady,"Ray, Goodman & Brown",5.0,5.0,13.0
1980-04-16,Lost In Love,Air Supply,6.0,6.0,11.0
1980-04-16,Fire Lake,Bob Seger,7.0,7.0,9.0
1980-04-16,I Can't Tell You Why,Eagles,8.0,8.0,9.0
1980-04-16,"Working My Way Back To You/Forgive Me, Girl",The Spinners,2.0,9.0,19.0
1980-04-16,Off The Wall,Michael Jackson,10.0,10.0,10.0
1980-04-16,Too Hot,Kool & The Gang,5.0,11.0,14.0
1980-04-16,You May Be Right,Billy Joel,12.0,12.0,6.0
1980-04-16,Sexy Eyes,Dr. Hook,13.0,13.0,10.0
1980-04-16,Hold On To My Love,Jimmy Ruffin,14.0,14.0,8.0
1980-04-16,Crazy Little Thing Called Love,Queen,1.0,15.0,18.0
1980-04-16,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,16.0,16.0,4.0
1980-04-16,Pilot Of The Airwaves,Charlie Dore,17.0,17.0,9.0
1980-04-16,How Do I Make You,Linda Ronstadt,10.0,18.0,12.0
1980-04-16,And The Beat Goes On,The Whispers,19.0,19.0,11.0
1980-04-16,I Pledge My Love,Peaches & Herb,20.0,20.0,14.0
1980-04-16,Him,Rupert Holmes,6.0,21.0,14.0
1980-04-16,Think About Me,Fleetwood Mac,22.0,22.0,7.0
1980-04-16,Hurt So Bad,Linda Ronstadt,23.0,23.0,2.0
1980-04-16,Biggest Part Of Me,Ambrosia,24.0,24.0,3.0
1980-04-16,Cars,Gary Numan,25.0,25.0,10.0
1980-04-16,Any Way You Want It,Journey,26.0,26.0,8.0
