title,artist,weeks,peak_rank,date,peak_year
(The Clickity Clack Song) Four Little Heels,Brian Hyland,3.0,73.0,1960-10-05,1960
(The Lament Of The Cherokee) Indian Reservation,Don Fardon,9.0,20.0,1968-08-28,1968
(The Lights Went Out In) Massachusetts,Bee Gees,8.0,11.0,1967-11-08,1967
(The Man Who Shot) Liberty Valance,Gene Pitney,13.0,4.0,1962-04-25,1962
(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,7.0,75.0,1968-06-19,1968
"(The Story Of) Woman, Love And A Man (Part 1)",Tony Clarke,1.0,88.0,1964-03-11,1964
"(Theme From) ""Goodbye Again""",Ferrante & Teicher,4.0,85.0,1961-06-07,1961
(Theme From) Any Number Can Win,Jimmy Smith,1.0,96.0,1963-10-30,1963
(Theme From) Silver City,The Ventures,3.0,83.0,1961-08-23,1961
(Theme From) The Sundowners,Mantovani & His Orchestra,1.0,93.0,1960-11-02,1960
(Theme From) Valley Of The Dolls,Dionne Warwick,13.0,2.0,1968-01-17,1968
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman,6.0,70.0,1960-10-19,1960
(Theme from) A Summer Place,Dick Roman,7.0,64.0,1962-08-01,1962
(Theme from) My Three Sons,Lawrence Welk And His Orchestra,7.0,55.0,1961-03-15,1961
(Theme from) The Great Impostor,Henry Mancini And His Orchestra,1.0,90.0,1961-03-29,1961
(There Was A) Tall Oak Tree,Dorsey Burnette,15.0,23.0,1960-01-27,1960
(There'll Come A Day When) Ev'ry Little Bit Hurts,Bobby Vee,5.0,84.0,1964-12-09,1964
(There's) Always Something There To Remind Me,Lou Johnson,7.0,49.0,1964-11-25,1964
(Today I Met) The Boy I'm Gonna Marry,Darlene Love,8.0,39.0,1963-04-03,1963
(We Ain't Got) Nothin' Yet,Blues Magoos,14.0,5.0,1966-12-07,1966
(We'll Be) United,The Intruders,6.0,78.0,1966-07-13,1966
(We've Got) Honey Love,Martha Reeves & The Vandellas,6.0,56.0,1969-04-16,1969
(Welcome) New Lovers,Pat Boone,12.0,18.0,1960-02-17,1960
(What A Sad Way) To Love Someone,Ral Donner,7.0,74.0,1962-03-21,1962
(When She Needs Good Lovin') She Comes To Me,The Chicago Loop,7.0,37.0,1966-11-02,1966
(You Better) Know What You're Doin',Lloyd Price and His Orchestra,2.0,90.0,1960-11-30,1960
(You Can't Let The Boy Overpower) The Man In You,The Miracles,5.0,59.0,1968-03-06,1968
(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,8.0,15.0,1966-10-05,1966
(You Don't Know) How Glad I Am,Nancy Wilson,11.0,11.0,1964-06-24,1964
(You Keep Me) Hangin' On,Joe Simon,15.0,25.0,1968-04-10,1968
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,9.0,8.0,1967-09-27,1967
(You Make Me Feel) So Good,The McCoys,4.0,53.0,1966-07-27,1966
(You Were Made For) All My Love,Jackie Wilson,13.0,12.0,1960-07-06,1960
(You're Gonna) Hurt Yourself,Frankie Valli,7.0,39.0,1966-01-12,1966
(You're My) Soul And Inspiration,The Righteous Brothers,13.0,1.0,1966-03-02,1966
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,11.0,3.0,1963-06-26,1963
(You've Got To) Move Two Mountains,Marv Johnson,11.0,20.0,1960-08-31,1960
(You've Got) Personality And Chantilly Lace,Mitch Ryder,4.0,87.0,1968-01-31,1968
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,12.0,6.0,1967-08-09,1967
-twistin'-White Silver Sands,Bill Black's Combo,2.0,92.0,1962-05-02,1962
......And Roses And Roses,Andy Williams,7.0,36.0,1965-03-31,1965
...And Then There Were Drums,Sandy Nelson,4.0,65.0,1962-09-19,1962
"1, 2, 3, Red Light",1910 Fruitgum Co.,13.0,5.0,1968-07-24,1968
1-2-3,Len Barry,15.0,2.0,1965-09-22,1965
10 Little Bottles,Johnny Bond,8.0,43.0,1965-03-10,1965
100 Years,Nancy Sinatra,6.0,69.0,1968-03-20,1968
1432 Franklin Pike Circle Hero,Bobby Russell,7.0,36.0,1968-10-23,1968
16 Candles,The Crests,21.0,2.0,1958-11-19,1958
18 Yellow Roses,Bobby Darin,10.0,10.0,1963-05-08,1963
1941,Tom Northcott,2.0,88.0,1968-03-13,1968
19th Nervous Breakdown,The Rolling Stones,10.0,2.0,1966-02-23,1966
20-75,Willie Mitchell,10.0,31.0,1964-08-26,1964
30-60-90,Willie Mitchell,5.0,69.0,1969-01-29,1969
3000 Miles,Brian Hyland,1.0,99.0,1966-04-13,1966
31 Flavors,The Shirelles,1.0,97.0,1963-10-30,1963
3rd Man Theme,Herb Alpert & The Tijuana Brass,6.0,47.0,1965-09-08,1965
4 - By The Beatles,The Beatles,5.0,68.0,1965-02-24,1965
409,The Beach Boys,1.0,76.0,1962-10-10,1962
442 Glenwood Avenue,The Pixies Three,7.0,56.0,1964-01-15,1964
5 D (Fifth Dimension),The Byrds,5.0,44.0,1966-07-13,1966
500 Miles Away From Home,Bobby Bare,11.0,10.0,1963-10-02,1963
"634-5789 (Soulsville, U.S.A.)",Wilson Pickett,11.0,13.0,1966-02-09,1966
7 And 7 Is,Love,10.0,33.0,1966-07-27,1966
7 Rooms Of Gloom,Four Tops,8.0,14.0,1967-05-17,1967
77 Sunset Strip,The Big Sound Of Don Ralke,5.0,69.0,1959-04-01,1959
7:30 Guided Tour,The Five Americans,2.0,96.0,1968-01-24,1968
8 X 10,Bill Anderson,6.0,53.0,1963-08-21,1963
96 Tears,? (Question Mark) & The Mysterians,15.0,1.0,1967-01-11,1967
98.6,Keith,14.0,7.0,1966-12-07,1966
A Banda (Ah Bahn-da),Herb Alpert & The Tijuana Brass,6.0,35.0,1967-09-06,1967
A Beautiful Morning,The Rascals,13.0,3.0,1968-04-10,1968
A Beautiful Story,Sonny & Cher,5.0,53.0,1967-04-26,1967
A Big Hunk O' Love,Elvis Presley With The Jordanaires,14.0,1.0,1959-07-01,1959
A Boy Named Sue,Johnny Cash,12.0,2.0,1969-07-23,1969
A Boy Without A Girl,Frankie Avalon,14.0,10.0,1959-05-20,1959
A Brand New Me,Dusty Springfield,9.0,24.0,1969-11-05,1969
A Breath Taking Guy,The Supremes,7.0,75.0,1963-07-24,1963
A Certain Girl,Ernie K-Doe,4.0,71.0,1961-11-08,1961
A Certain Smile,Johnny Mathis,9.0,22.0,1958-01-01,1958
A Change Is Gonna Come,Sam Cooke,7.0,31.0,1965-01-27,1965
A City Girl Stole My Country Boy,Patti Page,1.0,90.0,1961-04-05,1961
A Closer Walk,Pete Fountain,3.0,93.0,1960-02-03,1960
A Corner In The Sun,Walter Jackson,4.0,83.0,1966-11-02,1966
A Cottage For Sale,Little Willie John,6.0,63.0,1960-05-04,1960
A Cross Stands Alone,Jimmy Witter,4.0,89.0,1961-04-26,1961
A Day In The Life Of A Fool,Jack Jones,8.0,62.0,1966-10-26,1966
A Dollar Down,The Limeliters,3.0,60.0,1961-04-19,1961
A Fine Fine Boy,Darlene Love,6.0,53.0,1963-10-16,1963
A Fool In Love,Ike & Tina Turner,13.0,27.0,1960-08-24,1960
A Fool Never Learns,Andy Williams,10.0,13.0,1964-01-08,1964
A Girl Has To Know,The G-Clefs,5.0,81.0,1962-03-07,1962
A Girl Like You,Gary Stites,9.0,10.0,1959-07-15,1959
A Girl's Work Is Never Done,The Chordettes,3.0,89.0,1959-08-12,1959
A Groovy Kind Of Love,The Mindbenders,13.0,2.0,1966-04-13,1966
A Happy Guy,Rick Nelson,4.0,82.0,1964-11-25,1964
A Hard Day's Night,The Beatles,13.0,1.0,1966-01-19,1966
A Hazy Shade Of Winter,Simon & Garfunkel,9.0,13.0,1966-11-02,1966
