title,artist,weeks,peak_rank,date,peak_year
Girls,Major Lance,6.0,68.0,1964-06-24,1964
Girls Are Out To Get You,The Fascinations,3.0,92.0,1967-02-08,1967
Girls Can't Do What The Guys Do,Betty Wright,8.0,33.0,1968-07-31,1968
Girls Girls Girls (Part II),The Coasters,2.0,96.0,1961-08-09,1961
Girls Grow Up Faster Than Boys,The Cookies,11.0,33.0,1963-11-27,1963
Girls In Love,Gary Lewis And The Playboys,6.0,39.0,1967-05-10,1967
Girls It Ain't Easy,The Honey Cone,6.0,68.0,1969-11-05,1969
Gitarzan,Ray Stevens,13.0,8.0,1969-04-02,1969
Give A Damn,Spanky And Our Gang,8.0,43.0,1968-07-31,1968
Give All Your Love To Me,Gerry And The Pacemakers,6.0,68.0,1965-08-11,1965
Give Everybody Some,The Bar-Kays,4.0,91.0,1967-10-11,1967
Give Him A Great Big Kiss,The Shangri-Las,9.0,18.0,1964-12-23,1964
Give It Away,The Chi-lites,6.0,88.0,1969-02-26,1969
Give It Up Or Turnit A Loose,James Brown,9.0,15.0,1969-01-22,1969
Give Me One More Chance,Wilmer And The Dukes,6.0,80.0,1968-07-17,1968
Give Me Time,Dusty Springfield,4.0,76.0,1967-06-28,1967
Give Me Your Love,Nat King Cole,4.0,82.0,1959-01-28,1959
Give My Love A Try,Linda Jones,3.0,93.0,1968-01-17,1968
Give Myself A Party,Don Gibson,10.0,46.0,1958-09-24,1958
Give Peace A Chance,Plastic Ono Band,9.0,14.0,1969-07-23,1969
Give Us Your Blessing,Ray Peterson,6.0,70.0,1963-05-29,1963
Give Us Your Blessings,The Shangri-Las,8.0,29.0,1965-05-26,1965
Giving Up,Gladys Knight And The Pips,10.0,38.0,1964-05-06,1964
Giving Up On Love,Jerry Butler,6.0,56.0,1964-04-01,1964
Glad All Over,The Dave Clark Five,14.0,6.0,1964-02-12,1964
Glad Rags,Tennessee Ernie Ford,1.0,100.0,1959-02-18,1959
Glad She's A Woman,Bobby Goldsboro,6.0,61.0,1969-02-05,1969
Glad To Be Unhappy,The Mamas & The Papas,7.0,26.0,1967-10-25,1967
Gloria,Them,12.0,10.0,1965-05-19,1965
Gloria's Theme,Adam Wade,6.0,74.0,1960-11-16,1960
Glory Of Love,The Roommates,9.0,49.0,1962-08-08,1962
Go Ahead And Cry,The Righteous Brothers,6.0,30.0,1966-08-03,1966
Go Away From My World,Marianne Faithfull,3.0,89.0,1965-12-08,1965
Go Away Little Girl,Steve Lawrence,17.0,1.0,1962-11-07,1962
Go Chase A Moonbeam,Jerry Vale,7.0,60.0,1958-10-08,1958
Go Now!,The Moody Blues,14.0,10.0,1965-02-17,1965
Go On Home,Patti Page,8.0,42.0,1961-12-20,1961
Go Where You Wanna Go,The 5th Dimension,10.0,16.0,1967-01-11,1967
Go With Me,Gene And Debbe,6.0,78.0,1967-10-11,1967
"Go, Jimmy, Go",Jimmy Clanton,16.0,5.0,1959-12-02,1959
Go-Go Girl,Lee Dorsey,6.0,62.0,1967-10-18,1967
God Bless America,Connie Francis,11.0,36.0,1959-11-11,1959
God Bless Our Love,The Ballads,7.0,65.0,1968-07-17,1968
God Knows I Love You,Nancy Sinatra,3.0,97.0,1969-03-12,1969
God Only Knows,The Beach Boys,8.0,39.0,1966-08-10,1966
"God, Country And My Baby",Johnny Burnette,9.0,18.0,1961-10-11,1961
Goin' Away,The Fireballs,4.0,79.0,1968-04-10,1968
Goin' Back,The Byrds,3.0,89.0,1967-11-15,1967
Goin' Out Of My Head,Little Anthony And The Imperials,14.0,6.0,1964-11-04,1964
Goin' Out Of My Head/Can't Take My Eyes Off You,The Lettermen,15.0,7.0,1967-12-06,1967
Goin' Out Of My Head/Forget To Remember,Frank Sinatra,4.0,79.0,1969-11-26,1969
Going Back To Louisiana,Bruce Channel,3.0,89.0,1964-02-26,1964
Going Going Gone,Brook Benton,7.0,35.0,1964-01-22,1964
Going In Circles,The Friends Of Distinction,20.0,15.0,1969-08-13,1969
Going Nowhere,Los Bravos,2.0,91.0,1966-12-14,1966
Going To A Go-Go,The Miracles,12.0,11.0,1965-12-22,1965
Going To Chicago Blues,Count Basie & His Orch.,1.0,100.0,1958-08-13,1958
Going Up The Country,Canned Heat,11.0,11.0,1968-12-04,1968
Golden Gate Park,Rejoice!,1.0,96.0,1968-10-23,1968
Goldfinger,Billy Strange,13.0,8.0,1965-01-27,1965
Gone,The Rip Chords,4.0,88.0,1963-08-14,1963
Gone With The Wind,The Duprees featuring Joey Vann,2.0,89.0,1963-03-20,1963
"Gone, Gone, Gone",The Everly Brothers,10.0,31.0,1964-10-14,1964
Gonna Get Along Without Ya' Now,Trini Lopez,3.0,93.0,1967-02-15,1967
Gonna Get Along Without You Now,Skeeter Davis,7.0,48.0,1964-04-29,1964
Gonna Give Her All The Love I've Got,Jimmy Ruffin,7.0,29.0,1967-03-15,1967
Gonna Raise A Rukus Tonight,Jimmy Dean,6.0,73.0,1962-11-28,1962
Gonna Send You Back To Georgia (A City Slick),Timmy Shaw,7.0,41.0,1964-01-22,1964
Gonna Send You Back To Walker (Gonna Send You Back To Georgia),The Animals,3.0,57.0,1964-09-09,1964
Gonna' Get Along Without You Now,Tracey Dey,8.0,51.0,1964-04-22,1964
Gonzo,James Booker,11.0,43.0,1960-11-02,1960
Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group,7.0,36.0,1969-07-30,1969
Good Clean Fun,The Monkees,5.0,82.0,1969-09-17,1969
Good Combination,Sonny & Cher,6.0,56.0,1967-12-13,1967
Good Day Sunshine,Claudine Longet,2.0,100.0,1967-08-02,1967
Good Golly Miss Molly,The Swinging Blue Jeans,7.0,43.0,1964-05-06,1964
Good Lover,Jimmy Reed,4.0,77.0,1962-06-20,1962
Good Lovin',The Olympics,14.0,1.0,1965-04-28,1965
Good Lovin' Ain't Easy To Come By,Marvin Gaye & Tammi Terrell,7.0,30.0,1969-01-29,1969
Good Luck Charm,Elvis Presley With The Jordanaires,13.0,1.0,1962-03-14,1962
Good Morning Starshine,Oliver,13.0,3.0,1969-05-21,1969
Good News,Sam Cooke,10.0,11.0,1964-01-22,1964
Good Night Baby,The Butterflys,7.0,51.0,1964-09-09,1964
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,8.0,21.0,1969-06-25,1969
Good Rockin' Tonight,Pat Boone,8.0,49.0,1959-01-07,1959
Good Thing,Paul Revere & The Raiders Featuring Mark Lindsay,12.0,4.0,1966-11-30,1966
Good Time Baby,Bobby Rydell,11.0,11.0,1961-01-18,1961
Good Time Charlie,Bobby Bland,6.0,75.0,1966-05-18,1966
Good Time Girl,Nancy Sinatra,5.0,65.0,1968-11-27,1968
Good Time Music,The Beau Brummels,1.0,97.0,1965-12-22,1965
Good Time Tonight,The Soul Sisters,1.0,98.0,1964-06-10,1964
Good Times,Sam Cooke,10.0,11.0,1965-08-18,1965
Good Times Bad Times,Led Zeppelin,4.0,80.0,1969-03-26,1969
Good Timin',Jimmy Jones,15.0,3.0,1960-04-13,1960
Good Vibrations,The Beach Boys,14.0,1.0,1966-10-19,1966
"Good, Good Lovin'",Chubby Checker,6.0,43.0,1961-04-12,1961
Goodbye,Mary Hopkin,9.0,13.0,1969-04-16,1969
Goodbye Baby,Jack Scott,16.0,8.0,1958-12-10,1958
Goodbye Baby (Baby Goodbye),Solomon Burke,10.0,33.0,1964-04-15,1964
Goodbye Baby (I Don't Want To See You Cry),Tommy Boyce & Bobby Hart,6.0,53.0,1968-04-03,1968
Goodbye Charlie,Patti Page,3.0,90.0,1959-10-07,1959
Goodbye Columbus,The Association,11.0,80.0,1969-03-12,1969
Goodbye Cruel World,James Darren,17.0,3.0,1961-10-11,1961
Goodbye Dad,The Castle Sisters,1.0,100.0,1962-07-18,1962
"Goodbye Jimmy, Goodbye",Kathy Linden,14.0,11.0,1959-04-08,1959
Goodbye My Love,James Brown,7.0,31.0,1968-11-06,1968
Goodbye My Lover Goodbye,The Searchers,7.0,52.0,1965-03-31,1965
Goodnight,Roy Orbison,7.0,21.0,1965-02-10,1965
Goodnight Irene,Billy Williams,1.0,75.0,1959-04-15,1959
Goodnight My Love,The Fleetwoods,11.0,27.0,1969-01-01,1969
Goodnight My Love (Pleasant Dreams),Ray Peterson,6.0,64.0,1959-11-11,1959
"Goodnight, Irene",Jerry Reed And The Hully Girlies,5.0,79.0,1962-06-27,1962
Goody Goody Gumdrops,1910 Fruitgum Co.,9.0,37.0,1968-10-23,1968
Got A Girl,The Four Preps,10.0,24.0,1960-04-13,1960
Got A Match?,Frank Gallup,1.0,71.0,1958-01-01,1958
Got My Mojo Working (Part I),Jimmy Smith,7.0,51.0,1966-03-30,1966
Got The Feeling,Fabian,5.0,54.0,1959-09-16,1959
Got To Get You Off My Mind,Solomon Burke,10.0,22.0,1965-03-03,1965
Got To Have You Back,The Isley Brothers,2.0,93.0,1967-05-03,1967
Got What You Need,The Fantastic Johnny C,6.0,56.0,1968-02-07,1968
Got You On My Mind,Cookie And His Cupcakes,4.0,94.0,1963-05-01,1963
Gotta Get To Know You,Bobby Bland,3.0,91.0,1969-06-11,1969
Gotta Have Rain,Eydie Gorme,7.0,63.0,1958-01-01,1958
Gotta Have Your Love,The Sapphires,5.0,77.0,1965-04-28,1965
Gotta Lotta Love,Steve Alaimo,6.0,74.0,1963-11-13,1963
Gotta New Girl,Bobby Day,1.0,82.0,1959-06-17,1959
Gotta Travel On,Billy Grammer,20.0,4.0,1963-10-09,1963
Graduation Day,Bobby Pickett,4.0,59.0,1963-06-19,1963
Graduation's Here,The Fleetwoods,8.0,39.0,1959-05-13,1959
Granada,Frank Sinatra,3.0,64.0,1961-06-28,1961
Gravy (For My Mashed Potatoes),Dee Dee Sharp,10.0,9.0,1962-06-13,1962
Gravy Waltz,Steve Allen,7.0,64.0,1963-04-24,1963
Grazing In The Grass,Hugh Masekela,16.0,1.0,1968-06-05,1968
Greasy Heart,Jefferson Airplane,3.0,98.0,1968-04-17,1968
Great Balls Of Fire,Tiny Tim,3.0,85.0,1969-02-05,1969
Green Chri$tma$,Stan Freberg,2.0,44.0,1958-12-24,1958
Green Fields,The Vogues,3.0,92.0,1969-08-20,1969
Green Grass,Gary Lewis And The Playboys,8.0,8.0,1966-05-11,1966
Green Grass Of Texas,The Texans,1.0,100.0,1961-03-22,1961
Green Light,The American Breed,7.0,39.0,1968-02-21,1968
Green Onions,Booker T. & The MG's,16.0,3.0,1962-08-08,1962
Green River,Creedence Clearwater Revival,13.0,2.0,1969-07-30,1969
Green Tambourine,The Lemon Pipers,13.0,1.0,1967-12-13,1967
"Green, Green",The New Christy Minstrels,12.0,14.0,1963-06-26,1963
"Green, Green Grass Of Home",Tom Jones,12.0,11.0,1966-12-21,1966
Greenback Dollar,The Kingston Trio,11.0,21.0,1963-01-23,1963
Greenfields,The Brothers Four,20.0,2.0,1960-02-17,1960
Greensleeves,Mason Williams,2.0,90.0,1969-04-23,1969
Greetings (This Is Uncle Sam),The Monitors,1.0,100.0,1966-04-13,1966
Greetings (This is Uncle Sam),Valadiers,2.0,89.0,1961-11-15,1961
Grim Reaper Of Love,The Turtles,4.0,81.0,1966-06-15,1966
Grits Ain't Groceries (All Around The World),Little Milton,5.0,73.0,1969-01-29,1969
Grizzly Bear,The Youngbloods,10.0,52.0,1966-12-14,1966
Groovin',The Young Rascals,13.0,1.0,1967-08-02,1967
Groovin' (Out On Life),The Newbeats,3.0,85.0,1969-12-17,1969
Groovy Baby,Billy Abbott And The Jewels,8.0,55.0,1963-07-17,1963
Groovy Grubworm,Harlow Wilcox and the Oakies,12.0,30.0,1969-10-08,1969
Groovy Summertime,The Love Generation,7.0,74.0,1967-06-21,1967
Groovy Tonight,Bobby Rydell,2.0,70.0,1960-11-30,1960
Ground Hog,The Browns Featuring Jim Edward Brown,2.0,97.0,1961-04-05,1961
Grow Closer Together,The Impressions,1.0,99.0,1962-02-14,1962
Guaglione,Perez Prado And His Orchestra,9.0,53.0,1958-10-08,1958
Guantanamera,The Sandpipers,11.0,9.0,1966-07-27,1966
Guess I've Been Around Too Long,Carl Smith,1.0,93.0,1958-09-03,1958
Guess Things Happen That Way,Johnny Cash And The Tennessee Two,7.0,21.0,1958-01-01,1958
Guess Who,Jesse Belvin,13.0,31.0,1969-12-24,1969
Guilty,Jim Reeves,2.0,91.0,1963-06-26,1963
Guilty Of Loving You,Jerry Fuller,2.0,94.0,1961-10-04,1961
Guitar Boogie Shuffle,The Virtues,16.0,5.0,1959-03-04,1959
Guitar Boogie Shuffle Twist,The Virtues,1.0,96.0,1962-03-21,1962
Guitar Man,Elvis Presley,6.0,43.0,1968-01-24,1968
Gypsy Woman,The Impressions,15.0,20.0,1961-10-11,1961
Ha Ha Said The Clown,The Yardbirds,7.0,45.0,1967-08-02,1967
Hail To The Conquering Hero,James Darren,1.0,97.0,1962-10-10,1962
Hair,The Cowsills,15.0,2.0,1969-03-12,1969
Half Heaven - Half Heartache,Gene Pitney,12.0,12.0,1962-12-12,1962
Half-Breed,Marvin Rainwater,7.0,66.0,1959-07-22,1959
Halfway To Paradise,Tony Orlando,8.0,23.0,1961-04-26,1961
"Hallelujah, I Love Him So",Peggy Lee,2.0,77.0,1959-05-13,1959
Hallways Of My Mind,The Dells,4.0,92.0,1969-03-05,1969
Hand It Over,Chuck Jackson,3.0,92.0,1964-03-25,1964
Hand Jive,The Strangeloves,1.0,100.0,1966-06-15,1966
Handy Man,Jimmy Jones,18.0,2.0,1959-12-23,1959
Hang 'Em High,"Hugo Montenegro, His Orchestra And Chorus",18.0,9.0,1968-11-06,1968
Hang On,Floyd Cramer,2.0,95.0,1961-09-27,1961
Hang On Sloopy,The McCoys,14.0,1.0,1965-08-11,1965
Hanky Panky,Tommy James And The Shondells,12.0,1.0,1966-06-01,1966
Happenings Ten Years Time Ago,The Yardbirds,9.0,30.0,1966-11-23,1966
Happiness,Shades Of Blue,4.0,78.0,1966-09-28,1966
Happy,The Blades Of Grass,10.0,50.0,1969-11-19,1969
Happy And Me,Don And The Goodtimes,1.0,98.0,1967-07-26,1967
Happy Anniversary,Jane Morgan,9.0,57.0,1959-11-04,1959
Happy Birthday Blues,Kathy Young With The Innocents,10.0,30.0,1961-02-15,1961
"Happy Birthday, Sweet Sixteen",Neil Sedaka,14.0,6.0,1961-11-08,1961
Happy Days,Marv Johnson,7.0,58.0,1960-12-07,1960
Happy Heart,Andy Williams,11.0,22.0,1969-04-09,1969
Happy Jack,The Who,9.0,24.0,1967-04-12,1967
Happy Jose (Ching-Ching),Jack Ross,6.0,57.0,1962-01-10,1962
Happy Shades Of Blue,Freddie Cannon,5.0,83.0,1960-07-20,1960
Happy Summer Days,Ronnie Dove,8.0,27.0,1966-06-15,1966
Happy Times (Are Here To Stay),Tony Orlando,3.0,82.0,1961-11-22,1961
Happy Together,The Turtles,15.0,1.0,1967-02-08,1967
Happy Vacation,Jackie Lee,2.0,95.0,1959-06-24,1959
Happy Weekend,"Dave ""Baby"" Cortez",7.0,67.0,1962-10-10,1962
Happy Years,The Diamonds,4.0,73.0,1958-01-01,1958
Happy-Go-Lucky-Me,Paul Evans,14.0,10.0,1960-04-27,1960
Harbor Lights,The Platters,16.0,8.0,1960-01-20,1960
Hard Headed Woman,Elvis Presley With The Jordanaires,8.0,4.0,1958-01-01,1958
Hard Lovin' Loser,Judy Collins,2.0,97.0,1967-01-18,1967
Hard To Handle,Otis Redding,7.0,51.0,1968-11-13,1968
Hardhearted Hannah,Ray Charles,4.0,55.0,1960-11-16,1960
Harlem Nocturne,The Viscounts,29.0,39.0,1959-12-23,1959
Harlem Shuffle,Bob And Earl,11.0,44.0,1963-12-18,1963
Harmony,Billy Bland,2.0,91.0,1960-10-05,1960
Harper Valley P.T.A.,Jeannie C. Riley,13.0,1.0,1968-10-09,1968
Harper Valley P.T.A. (Later That Same Day),Ben Colder,5.0,67.0,1968-10-23,1968
Harry The Hairy Ape,Ray Stevens,9.0,17.0,1963-06-12,1963
Harvey's Got A Girl Friend,Royal Teens,2.0,78.0,1958-08-06,1958
Hats Off To Larry,Del Shannon,13.0,5.0,1961-05-31,1961
Haunted House,Jumpin' Gene Simmons,11.0,11.0,1964-08-05,1964
Have A Good Time,Sue Thompson,11.0,31.0,1962-06-13,1962
Have A Little Faith,David Houston,2.0,98.0,1968-03-06,1968
Have I Stayed Away Too Long,Bobby Bare,1.0,94.0,1964-05-13,1964
Have I Stayed Too Long,Sonny & Cher,6.0,49.0,1966-06-01,1966
Have I The Right?,The Honeycombs,13.0,5.0,1964-09-16,1964
Have Mercy Baby,The Bobbettes,8.0,66.0,1960-10-05,1960
Have You Ever Been Lonely (Have You Ever Been Blue),Teresa Brewer,5.0,84.0,1960-11-23,1960
Have You Ever Loved Somebody,The Searchers,3.0,94.0,1966-11-23,1966
Have You Heard,The Duprees featuring Joey Vann,10.0,18.0,1963-11-06,1963
Have You Looked Into Your Heart,Jerry Vale,10.0,24.0,1964-12-16,1964
Have You Seen Her Face,The Byrds,4.0,74.0,1967-06-07,1967
"Have You Seen Your Mother, Baby, Standing In The Shadow?",The Rolling Stones,7.0,9.0,1966-10-05,1966
Havin' Fun,Dion,6.0,42.0,1961-02-01,1961
Having A Party,Sam Cooke,15.0,17.0,1962-05-23,1962
Hawaii Five-O,The Ventures,14.0,4.0,1969-03-05,1969
Hawaii Honeymoon,The Waikikis,4.0,91.0,1965-03-31,1965
Hawaii Tattoo,The Waikikis,9.0,33.0,1964-12-02,1964
Hawaiian War Chant,Billy Vaughn And His Orchestra,1.0,89.0,1959-03-25,1959
He,The Righteous Brothers,8.0,18.0,1966-06-01,1966
He Ain't Give You None,Freddie Scott,1.0,100.0,1967-11-08,1967
"He Ain't Heavy, He's My Brother",The Hollies,3.0,88.0,1969-12-17,1969
He Ain't No Angel,The Ad Libs,1.0,100.0,1965-04-28,1965
He Called Me Baby,Ella Washington,3.0,77.0,1969-01-15,1969
He Cried,The Shangri-Las,6.0,65.0,1966-04-06,1966
He Don't Really Love You,The Delfonics,4.0,92.0,1968-05-01,1968
He Knows I Love Him Too Much,The Paris Sisters,10.0,34.0,1962-01-24,1962
He Says The Same Things To Me,Skeeter Davis,7.0,47.0,1964-01-22,1964
He Thinks I Still Care,Connie Francis,8.0,57.0,1962-10-03,1962
He Touched Me,Barbra Streisand,10.0,53.0,1965-09-29,1965
He Walks Like A Man,Jody Miller,6.0,66.0,1964-02-05,1964
He Was Really Sayin' Somethin',The Velvelettes,6.0,64.0,1965-01-27,1965
He Will Break Your Heart,Jerry Butler,15.0,7.0,1966-06-01,1966
He Wore The Green Beret,Nancy Ames,3.0,89.0,1966-03-16,1966
He'll Have To Go,Jim Reeves,23.0,2.0,1964-02-05,1964
He'll Have To Stay,Jeanne Black,11.0,4.0,1960-04-27,1960
He's A Bad Boy,Carole King,3.0,94.0,1963-04-24,1963
He's A Good Guy (Yes He Is),The Marvelettes,7.0,55.0,1964-02-19,1964
He's A Lover,Mary Wells,4.0,74.0,1965-06-16,1965
He's A Rebel,The Crystals,18.0,1.0,1962-09-05,1962
He's Got No Love,The Searchers,3.0,79.0,1965-07-28,1965
He's Got The Power,The Exciters,8.0,57.0,1963-02-27,1963
He's In Town,The Tokens,8.0,43.0,1964-08-05,1964
"He's Mine (I Love Him, I Love Him, I Love Him)",Alice Wonder Land,7.0,62.0,1963-09-11,1963
He's My Guy,Irma Thomas,8.0,63.0,1964-12-16,1964
He's So Fine,The Chiffons,15.0,1.0,1963-02-20,1963
He's So Heavenly,Brenda Lee,3.0,73.0,1963-04-10,1963
He's Sure The Boy I Love,The Crystals,12.0,11.0,1962-12-26,1962
Headline News,Edwin Starr,4.0,84.0,1966-05-04,1966
Hear The Bells,The Tokens,4.0,94.0,1963-08-21,1963
Heart,Kenny Chandler,7.0,64.0,1963-04-03,1963
Heart And Soul,The Cleftones,9.0,18.0,1961-05-17,1961
Heart Be Still,Lorraine Ellison,2.0,89.0,1967-10-04,1967
Heart Breaker,Dean Christie,4.0,87.0,1962-10-31,1962
Heart Full Of Soul,The Yardbirds,12.0,9.0,1965-07-28,1965
Heart In Hand,Brenda Lee,10.0,15.0,1962-07-04,1962
Heart Of Stone,The Rolling Stones,9.0,19.0,1965-01-06,1965
Heart! (I Hear You Beating),Wayne Newton And The Newton Brothers,4.0,82.0,1963-04-24,1963
Heart's Desire,Billy Joe Royal,3.0,88.0,1966-05-18,1966
Heartaches,The Marcels,12.0,7.0,1962-10-10,1962
Heartaches By The Number,Guy Mitchell,20.0,1.0,1965-08-25,1965
Heartbeat,Buddy Holly,4.0,82.0,1958-12-24,1958
Heartbreak (It's Hurtin' Me),Little Willie John,12.0,38.0,1960-06-01,1960
Heartbreak Hill,Fats Domino,2.0,99.0,1964-10-28,1964
Heartbreak Hotel,Roger Miller,4.0,84.0,1966-11-02,1966
Hearts,Jackie Wilson,6.0,58.0,1962-04-25,1962
Hearts Of Stone,Bill Black's Combo,8.0,20.0,1961-02-15,1961
Heat Wave,Martha & The Vandellas,14.0,4.0,1963-07-31,1963
Heather Honey,Tommy Roe,8.0,29.0,1969-04-23,1969
Heaven,The Rascals,6.0,39.0,1969-02-05,1969
Heaven Knows,The Grass Roots,9.0,24.0,1969-11-05,1969
Heaven Must Have Sent You,The Elgins,8.0,50.0,1966-10-19,1966
Heavenly Lover,Teresa Brewer,8.0,40.0,1959-03-11,1959
Hello Goodbye,The Beatles,11.0,1.0,1967-11-29,1967
"Hello Heartache, Goodbye Love",Little Peggy March,9.0,26.0,1963-09-04,1963
Hello Hello,"The Sopwith ""Camel""",10.0,26.0,1966-12-21,1966
Hello It's Me,Nazz,7.0,71.0,1969-02-12,1969
Hello Jim,Paul Anka,1.0,97.0,1963-06-26,1963
Hello Mary Lou,Ricky Nelson,15.0,9.0,1961-04-26,1961
"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman,10.0,2.0,1963-07-31,1963
"Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)",Allan Sherman,6.0,59.0,1964-07-22,1964
Hello Pretty Girl,Ronnie Dove,7.0,54.0,1965-01-06,1965
Hello Stranger,Barbara Lewis,14.0,3.0,1963-05-01,1963
Hello Walls,Faron Young,15.0,12.0,1961-04-05,1961
Hello Young Lovers,Paul Anka,12.0,23.0,1960-07-27,1960
"Hello, Dolly!",Louis Armstrong And The All Stars,22.0,1.0,1965-02-03,1965
"Hello, Hello",Claudine Longet,1.0,91.0,1967-05-24,1967
"Hello, I Love You",The Doors,12.0,1.0,1968-07-03,1968
Help Me (Get Myself Back Together Again),The Spellbinders,1.0,100.0,1966-11-16,1966
Help Me Girl,The Outsiders,10.0,29.0,1966-11-23,1966
"Help Me, Rhonda",The Beach Boys,14.0,1.0,1965-04-14,1965
Help The Poor,B.B. King,2.0,98.0,1964-06-24,1964
Help Yourself,Tom Jones,8.0,35.0,1968-08-28,1968
Help Yourself (To All Of My Lovin'),James & Bobby Purify,3.0,94.0,1968-08-28,1968
Help!,The Beatles,13.0,1.0,1965-08-04,1965
Helpless,Kim Weston,7.0,56.0,1966-03-09,1966
Her Royal Majesty,James Darren,11.0,6.0,1962-01-31,1962
Here Come Da Judge,The Buena Vistas,4.0,88.0,1968-05-29,1968
Here Come The Judge,The Magistrates,7.0,54.0,1968-05-29,1968
Here Comes Heaven,Eddy Arnold,4.0,91.0,1967-11-29,1967
Here Comes My Baby,The Tremeloes,12.0,13.0,1967-04-05,1967
Here Comes Summer,Jerry Keller,13.0,14.0,1959-06-24,1959
Here Comes That Feelin',Brenda Lee,3.0,89.0,1962-04-25,1962
Here Comes The Boy,Tracey Dey,3.0,93.0,1963-12-25,1963
Here Comes The Judge,Shorty Long,11.0,8.0,1968-05-29,1968
Here Comes The Night,Ben E. King,10.0,24.0,1961-10-04,1961
"Here Comes The Rain, Baby",Eddy Arnold,4.0,74.0,1968-02-07,1968
Here I Am,Dionne Warwick,8.0,65.0,1965-06-30,1965
Here I Am Baby,The Marvelettes,9.0,44.0,1968-06-05,1968
Here I Go Again,Smokey Robinson & The Miracles,9.0,37.0,1969-08-20,1969
Here I Stand,Wade Flemons and the Newcomers,8.0,51.0,1958-12-17,1958
Here In My Heart,Al Martino,4.0,86.0,1961-07-26,1961
Here It Comes Again,The Fortunes,8.0,27.0,1965-11-03,1965
Here She Comes,The Tymes,3.0,92.0,1964-11-18,1964
Here We Go Again,Ray Charles,12.0,15.0,1969-05-21,1969
Here's A Heart,The Diplomats,3.0,89.0,1964-01-29,1964
Here's My Confession,Wyatt (Earp) McPherson,2.0,97.0,1961-05-10,1961
Here's To You,Hamilton Camp,5.0,76.0,1968-05-01,1968
Heroes And Villains,The Beach Boys,7.0,12.0,1967-08-02,1967
Hey Baby (They're Playing Our Song),The Buckinghams,10.0,12.0,1967-09-06,1967
Hey Boy Take A Chance On Love,Ruby Andrews,1.0,92.0,1968-01-17,1968
Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,5.0,61.0,1958-01-01,1958
Hey Girl Don't Bother Me,The Tams,8.0,41.0,1964-07-15,1964
Hey Harmonica Man,Stevie Wonder,8.0,29.0,1964-06-10,1964
Hey Hey Bunny,John Fred And The Playboys,6.0,57.0,1968-02-21,1968
"Hey Jean, Hey Dean",Dean And Jean,8.0,32.0,1964-02-19,1964
Hey Joe,The Leaves,9.0,31.0,1967-09-06,1967
Hey Jude,The Beatles,19.0,1.0,1968-12-18,1968
Hey Little Cobra,The Rip Chords,14.0,4.0,1963-12-11,1963
Hey Little Girl,Dee Clark,15.0,13.0,1959-08-19,1959
Hey Little Lucy! (Don'tcha Put No Lipstick On),Conway Twitty,2.0,87.0,1959-05-13,1959
Hey Little One,Dorsey Burnette,11.0,48.0,1960-06-01,1960
Hey Lonely One,Baby Washington,1.0,100.0,1963-10-09,1963
Hey Love,Stevie Wonder,6.0,90.0,1967-04-19,1967
Hey Lover,Debbie Dovale,4.0,81.0,1963-11-13,1963
Hey Now,Lesley Gore,6.0,76.0,1964-10-14,1964
Hey Paula,Paul and Paula,15.0,1.0,1962-12-26,1962
Hey There Lonely Boy,Ruby And The Romantics,9.0,27.0,1963-08-07,1963
Hey There Lonely Girl,Eddie Holman,2.0,57.0,1969-12-24,1969
Hey You! Little Boo-Ga-Loo,Chubby Checker,5.0,76.0,1966-06-29,1966
Hey! Baby,Bruce Channel,15.0,1.0,1969-01-22,1969
Hey! Little Girl,Del Shannon,8.0,38.0,1961-11-22,1961
"Hey, Bobba Needle",Chubby Checker,9.0,23.0,1964-03-11,1964
"Hey, Girl",Freddie Scott,12.0,10.0,1963-07-24,1963
"Hey, Leroy, Your Mama's Callin' You",Jimmy Castor,9.0,31.0,1966-12-28,1966
"Hey, Let's Twist",Joey Dee & the Starliters,6.0,20.0,1962-02-14,1962
"Hey, Mr. Sax Man",Boots Randolph,6.0,77.0,1964-04-01,1964
"Hey, Western Union Man",Jerry Butler,13.0,16.0,1968-08-28,1968
Hey-Da-Da-Dow,The Dolphins,7.0,69.0,1964-12-16,1964
Hi Diddle Diddle,Inez Foxx,1.0,98.0,1963-12-04,1963
Hi Heel Sneakers - Pt. 1,Ramsey Lewis Trio,5.0,70.0,1966-03-23,1966
Hi Hi Hazel,Gary And The Hornets,2.0,96.0,1966-11-16,1966
Hi-Heel Sneakers,Tommy Tucker,11.0,11.0,1964-02-05,1964
"Hi-Lili, Hi-Lo",Richard Chamberlain,5.0,64.0,1963-02-13,1963
"Hickory, Dick And Doc",Bobby Vee,8.0,63.0,1964-05-27,1964
"Hide & Go Seek, Part I",Bunker Hill,13.0,33.0,1962-08-22,1962
Hide & Seek,The Sheep,7.0,58.0,1966-01-26,1966
Hide 'Nor Hair,Ray Charles and his Orchestra,7.0,20.0,1962-04-04,1962
Hide Away,Freddy King,10.0,29.0,1961-03-01,1961
